Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
costa rica,"1,251","1,369","1,573","1,943","2,118","2,492","3,065","3,904","4,477","5,127","4,854","2,636","2,619","3,162","3,678","3,941","4,425","4,554","4,636","5,250","5,737","7,197","8,566","9,586","10,489","11,578","11,683","12,618","13,688","14,259","15,016","15,979","16,584","17,277","18,615","20,049","22,717","26,885","30,802","30,746","37,656","42,762","47,231","50,949","52,017","56,442","58,847","60,517","62,422","64,412","62,382","64,954","69,235","86,509","95,365","102,591","108,600","115,153","122,141","129,377"
ivory coast,"1,501","1,597","1,872","2,540","3,070","3,894","4,662","6,265","7,901","9,142","13,877","11,502","10,320","9,312","9,284","9,470","12,675","13,944","14,092","13,487","14,923","14,504","15,416","15,268","11,492","15,205","16,780","16,203","17,433","17,114","14,851","15,485","17,148","21,206","22,924","23,626","24,628","28,158","33,621","33,693","34,431","35,529","37,030","43,228","48,882","45,815","48,408","52,512","58,522","60,383","63,119","72,833","71,075","79,630","87,096","94,483","103,102","111,880","121,578","132,669"
croatia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568,"7,358","16,669","20,657","22,104","22,101","23,971","23,593","22,145","23,067","26,739","35,239","41,820","45,035","49,593","59,303","68,469","62,255","59,032","62,889","57,585","59,854","59,628","51,012","52,640","56,166","61,694","61,472","57,919","69,055","71,260","84,416","92,506","98,951","104,903","109,941","115,255","120,670"
cyprus,569,666,810,986,873,728,842,"1,073","1,404","1,840","2,314","2,242","2,319","2,321","2,447","2,611","3,317","3,979","4,589","4,901","6,003","6,195","7,424","7,098","8,004","9,937","10,016","9,544","10,251","10,502","9,988","10,397","11,422","14,552","17,328","18,713","20,422","24,082","27,955","26,020","25,821","27,637","25,063","23,960","23,232","19,911","21,041","22,938","25,766","26,200","25,535","30,393","31,001","33,897","36,156","38,736","40,629","42,439","44,334","46,381"
czech republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60,565","67,805","62,530","67,161","65,586","62,171","68,136","82,596","100,471","120,148","137,264","156,236","189,845","236,820","207,095","211,169","231,429","210,363","213,024","210,911","189,108","198,161","221,564","251,992","256,794","251,110","290,973","301,831","343,207","344,931","360,244","376,684","390,799","406,038","422,083"
denmark,"16,591","18,515","22,591","29,962","33,347","39,594","43,676","48,855","59,296","69,161","70,811","61,460","60,084","60,331","58,869","62,452","87,749","109,183","115,540","112,312","138,219","139,182","152,966","143,110","156,019","184,850","187,482","173,242","176,876","177,887","164,043","164,881","178,788","218,422","251,988","265,150","283,387","320,213","354,977","322,621","322,346","344,316","326,793","344,631","352,833","301,759","312,182","331,611","355,293","345,402","355,631","408,378","401,946","407,092","429,458","449,940","473,665","493,376","512,752","533,284"
djibouti,66,75,90,112,141,157,187,201,221,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,672,655,691,699,694,706,722,759,781,811,837,882,936,996,"1,080","1,191","1,382","1,426","1,544","1,740","1,901","2,044","2,221","2,424","2,605","2,763","2,913","3,089","3,144","3,393","3,563","3,917","4,257","4,587","4,959","5,335","5,745","6,126"
dominica,23,26,28,32,38,40,39,44,54,53,73,82,90,99,109,119,135,152,171,185,201,220,234,246,264,275,292,303,322,332,333,340,333,343,367,364,390,421,458,489,494,501,486,498,520,541,576,522,555,612,504,555,607,654,697,742,782,821,860,899
dominican republic,"1,832","2,055","2,451","2,892","3,609","4,439","4,874","5,658","5,839","6,782","8,672","9,698","9,141","9,461","14,870","6,496","7,891","8,305","7,605","8,589","7,995","9,887","11,605","13,081","14,645","16,637","18,242","20,017","21,672","22,137","24,306","25,602","27,249","21,518","22,506","35,948","37,998","44,067","48,174","48,281","53,862","58,006","60,627","62,631","67,098","71,056","75,625","79,153","85,068","89,237","78,625","95,067","113,813","120,794","124,613","127,828","135,112","144,828","155,291","166,422"
ecuador,"1,762","1,686","1,973","2,620","3,906","4,536","5,596","7,005","8,056","9,851","16,116","16,501","16,474","14,478","15,408","18,020","13,222","12,355","11,749","11,531","11,710","13,139","14,367","16,783","20,238","21,980","23,001","25,847","26,292","18,891","17,531","23,127","27,054","30,965","35,195","40,279","45,691","49,849","61,139","60,095","68,151","78,987","87,735","96,570","102,718","97,210","97,671","104,467","107,479","107,596","95,865","107,179","116,133","121,147","121,728","125,677","130,310","135,350","140,863","146,638"
